payload_type,variant,seed,image,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
ascii_text,cover,0,25,1.949991634603566e-51,0.0028624600633730146,0.0,,,
ascii_text,cover,0,26,0.7622848759274033,0.0,0.005110464174320522,,,
ascii_text,cover,0,27,0.0,0.0,0.0,,,
ascii_text,cover,0,28,0.0004081507207802356,0.0,0.005418977866374009,,,
ascii_text,no_decomp,1,0,0.0,0.07740007007388844,0.0867819854205629,,,
ascii_text,full,1,0,0.0,0.08668211750405981,0.09844973186924627,,,
ascii_text,no_decomp,1,1,1.2053331855485431e-06,0.06926877914291026,0.1005083210106127,,,
ascii_text,full,1,1,0.00011301176494629265,0.07638648658097746,0.10844300963596126,,,
ascii_text,no_decomp,1,2,2.3998987580283045e-19,0.15512401601517342,0.1345288526661113,,,
ascii_text,full,1,2,1.924073814417639e-14,0.18968809417970223,0.16815583782959187,,,
ascii_text,no_decomp,1,3,1.0519030187664662e-62,0.17159999892832328,0.11567379390369016,,,
ascii_text,full,1,3,9.533450330544147e-83,0.18985354927597833,0.14917467649164895,,,
ascii_text,no_decomp,1,4,2.819428839707944e-62,0.06265161357443977,0.09585625882127016,,,
ascii_text,full,1,4,4.372586818210083e-20,0.0799014362600057,0.11421390408276355,,,
ascii_text,no_decomp,1,5,3.1972144975796317e-74,0.08239368328577555,0.0739917678317504,,,
ascii_text,full,1,5,5.032901241048284e-65,0.10643585838774092,0.08804988584951295,,,
ascii_text,no_decomp,1,6,1.2833281776164017e-53,0.19368251807986955,0.14371505046199834,,,
ascii_text,full,1,6,6.412141662345914e-66,0.18689370374675845,0.123702504281727,,,
ascii_text,no_decomp,1,7,0.9407752620401887,0.08892058075167389,0.10371298646823268,,,
ascii_text,full,1,7,0.954168517883071,0.1014570886157032,0.12811033182680587,,,
ascii_text,no_decomp,1,8,6.215064999097941e-38,0.0783057888359072,0.07125208711839658,,,
ascii_text,full,1,8,1.344752233783051e-34,0.08680494016072104,0.11403939379878675,,,
ascii_text,no_decomp,1,9,6.370293002904841e-11,0.10386695267788622,0.06972266233249405,,,
ascii_text,full,1,9,1.1114344994795423e-22,0.09256990727893478,0.0919479830333979,,,
ascii_text,no_decomp,1,10,0.0,0.4483370988253632,0.30869841171780193,,,
ascii_text,full,1,10,0.0,0.4495398722325689,0.29223033897840534,,,
ascii_text,no_decomp,1,11,2.0027649958167315e-179,0.12125761140856528,0.1473212696813264,,,
ascii_text,full,1,11,0.0,0.0841373538926978,0.09358283078578643,,,
ascii_text,no_decomp,1,12,0.0,0.07955221811454548,0.07711955595531182,,,
ascii_text,full,1,12,0.0,0.07723030905476665,0.08613230817385206,,,
ascii_text,no_decomp,1,13,1.8047012000555088e-07,0.15566549029058405,0.14799094347186523,,,
ascii_text,full,1,13,2.6991061576534315e-11,0.12090102199189327,0.11625787805276785,,,
ascii_text,no_decomp,1,14,9.671026353601702e-21,0.0986349100544244,0.10670280535195602,,,
ascii_text,full,1,14,1.8772605262263698e-23,0.08666537765576358,0.10503277876881209,,,
ascii_text,no_decomp,1,15,6.828032442382861e-15,0.06619049143563736,0.056452408696179214,,,
ascii_text,full,1,15,3.499313370776181e-13,0.093039510660722,0.1049988809872823,,,
ascii_text,no_decomp,1,16,4.300050985155233e-05,0.10535471034399276,0.08953126872526533,,,
ascii_text,full,1,16,9.808288538928914e-08,0.09178283185209442,0.08581104552795174,,,
ascii_text,no_decomp,1,17,0.3714775147540931,0.13124153454925455,0.09087895270336188,,,
ascii_text,full,1,17,0.3179740449445646,0.11850945040939727,0.09516511543030783,,,
ascii_text,no_decomp,1,18,0.5206401554524405,0.073492027211652,0.08030213465354034,,,
ascii_text,full,1,18,0.5993540749051771,0.0912314535432178,0.09706560570375196,,,
ascii_text,no_decomp,1,19,0.0,0.10405630083469923,0.08925456410795292,,,
ascii_text,full,1,19,3.6626765686938493e-261,0.10150956110965077,0.10726238979807923,,,
ascii_text,no_decomp,1,20,0.0,0.5141636858147023,0.29715216840644365,,,
ascii_text,full,1,20,0.0,0.46351256948917696,0.2541187860898861,,,
ascii_text,no_decomp,1,21,1.690912200422133e-30,0.10512938343629005,0.08488795359486055,,,
ascii_text,full,1,21,3.998505467045957e-34,0.10237798570628466,0.09701089918059085,,,
ascii_text,no_decomp,1,22,7.295212823036667e-297,0.12638197100951948,0.08250566306121497,,,
ascii_text,full,1,22,0.0,0.12231984077039336,0.09528210304286135,,,
ascii_text,no_decomp,1,23,2.0892947797443888e-17,0.07197502811558673,0.10091808662377148,,,
ascii_text,full,1,23,3.661397328298946e-18,0.09423044963014782,0.1186468842100855,,,
ascii_text,no_decomp,1,24,3.102086835456095e-40,0.07289686940832385,0.08420206053576343,,,
